,initial sentence,true sentence,generated text
20,Самое главное - хорошо защипать края.,"Выкладываем слойки на противень, застеленный пергаментом или слегка присыпанный мукой...","Как правильно защипать края? Смотря какие края. Если края тонкие, то лучше всего срезать острым ножом..."
21,Для начала необходимо взбить яйца.,"Если яйца крупные, достаточно и 4 штук...","Затем добавить муку, соль, сахар, ванилин, разрыхлитель и масло. Выложить..."
22,"На кусок в 2,5 кг потребуется 3 литра воды.",Ставим кастрюлю на огонь...,"Воду нужно вскипятить, добавить соль, сахар, лавровый лист, перец горошком, гвоздику..."
23,"Вафли либо вафельные коржи разломите и поместите в емкость измельчителя, блендера.",Измельчите в крошку примерно 2-4 минуты...,"Добавьте молоко, сахар, ванилин, соль, масло сливочное, яйца, муку, разрыхлитель..."
24,Специи - по вкусу.,"Из фарша формируем тефтели, обжарим на растительном масле, и подаем, полив соусом!...",Салат из свеклы с морковью и яблоками. Ингредиенты: 1 свекла...
25,"Сковородку промакнуть бумажным полотенцем, тем самым удалить остатки жира.",Картофель порезать кружочками...,Нарезать овощи кубиками. В сковороде разогреть растительное масло. Обжарить овощи до золотистого...
26,"Вскипятите воду, посолите её.",Просейте через сито 1 ст.л. кукурузной муки...,"Влейте в кастрюлю с кипящей водой, добавьте соль, сахар, лавровый лист, перец горошком, гвозди..."
27,"Готовые чиабатты извлекаем из плиты и выкладываем на решетку остывать, затем нарезаем на ломтики.",Приятного аппетита!...,"Курицу нарезаем на кусочки, выкладываем на решетку и обжариваем на растительном масле до золоти..."
28,Там оно должно постоять и подняться.,Через час-полтора ставим его выпекаться в духовке при температуре 180 градусов (40 минут)...,Какое время года самое красивое? Зима...
29,Подготовьте все ингредиенты.,Отварите в подсоленной воде курицу...,"1. Смешайте все ингредиенты, кроме соли, сахара и масла. 2. Влей..."
30,"Выложите в емкости нарезанные кусочки карпа, затем лук, затем снова кусочки рыбы.","Выложите оставшиеся лавровые листья, горошины перца и влейте горячую воду...",Залейте все это водой и поставьте в холодильник на 1 час. Затем добавьте в кастрюлю с рыбой...
31,"Филе рыбы нарежьте на порционные кусочки, обваляйте в муке с солью.",Обжарьте в разогретом масле до румяной корочки с двух сторон...,"Обжарьте на растительном масле до золотистого цвета. Нашинкуйте лук, добавьте к нему рыбу..."
32,"Итак, приступим: - груши моем, нарезаем на дольки-четвертинки, семенную коробочку вырезаем; - в подготовленные банки (продукты рассчитаны на две литровые банки, но вы можете взять любого объема, главное - соблюсти пропорции) закладываем грушевые дольки примерно на одну треть от общего объема; - кипятим воду и заливаем кипятком груши, очень аккуратно и не спеша, чтобы банка не лопнула; - затем сливаем воду в подходящую кастрюлю, насыпаем сахар и лимонную кислоту, перемешиваем и отправляем на огонь; - когда сироп закипит, заливаем им банки с грушами, прикрываем жестяными крышками и отправляем на стерилизацию; - стерилизуем как обычно: помещаем банки в просторной кастрюле, подложив под низ кухонное полотенце, вливаем горячую воду так, чтобы она доходила до уровня плечиков банки или немного выше, отправляем кастрюлю на огонь.","Поллитровые банки стерилизуем в течение 10 минут, литровые - 15 минут, полуторалитровые...","Когда вода закипит, огонь уменьшаем до среднего, накрываем кастрюлю крышкой и стерилизуем в течение 15 минут. После..."
33,Выложите в кондитерский пакет и украсьте кремом торт.,Поместите в холодильник на 1 час для пропитывания...,Торт «. Птичье молоко». Ингредиенты:Для теста:Для крема...
34,"Сверху на мясо выложите шпинат, посолите его.","Сверху выложите натертый сыр, закатайте все в рулетик...",Сверху на шпинат выложите грибы. Сверху на грибы выложите лук. Сверху...
35,Добавьте к редьке мелко нарезанный лук.,Отварной картофель нарежьте кубиком...,"Смешайте все ингредиенты, посолите и поперчите. Нарежьте овощи кружочками..."
36,Заверните блин конвертиком.,Складывайте блинчики с начинкой в форму для запекания...,"Какие есть рецепты блинов? Блинчики с творогом, с мясом, с грибами, с..."
37,После чего тщательно отожмите руками от выделившегося сока и добавьте в миску к фаршу.,Добавьте сюда же тертую на крупной терке луковицу...,"Состав: 1,5 кг говядины, 1,5 кг свинины, 1..."
38,"Отрезаем попку и носик, затем нарезаем кружочками около сантиметра в толщину, но не больше.","Перекладываем в миску, солим и оставляем на 15-20 минут, чтобы...","Нарезаем кружочками около сантиметра в толщину, но не больше. Нарезаем кружочками около сантимет..."
39,"Скатайте тесто в шарики, а каждый шарик раскатайте в лепешку.",Смажьте лепешки взбитым яйцом...,"Нарежьте тесто на кусочки и положите на противень, застеленный пергаментной бумагой..."
40,Курица готова к жарке.,"Разогрейте антипригарную сковороду, выложите куриное мясо вместе со специями и маслом, в...","Курицу можно жарить на сковороде, в духовке, на гриле, в мультиварке..."
41,После каждую ножку обверните полосками бекона.,Форму смажьте подсолнечным маслом и выложите голени в беконе...,Подавайте с картофельным пюре. Салат из свеклы с морковью. Ингреди...
42,Кабачки разрежьте вдоль.,"Обжариваем кабачки с двух сторон на сковороде-гриль, смазанной растительным маслом...","Сложите их в кастрюлю, добавьте соль, перец, лавровый лист, перец горошком, уксус..."
43,"Раскрошите в фарш фету, добавьте кетчуп.","Всыпьте панировочные сухари, орегано, соль, черный перец...","Смешайте фарш с фетой, добавьте кетчуп. Смешайте фарш..."
44,Предварительно отварите в небольшом количестве жидкости тыквенную нарезку и отпюрируйте.,По желанию часть тыквенного пюре можно заморозить и готовить на его основе новые смузи...,"Сварите рис, добавьте в него тыквенную нарезку и перемешайте. Нарежьте овощи..."
45,Жаропрочную форму смазать небольшим количеством растительного масла или застелить пергаментом.,Выложить грудки...,На дно формы выложить слой нарезанного небольшими кубиками лука. На лук выложить слой нарезанных кружочками помид...
46,"Когда картофель будет готов, снимите казан с огня и дайте минут 10 настояться, а тем временем в отдельной кастрюле отварите лапшу до готовности или согласно инструкции на упаковке.",Разложите лапшу в порционные тарелки и сверху обильно полейте подливкой из...,"В это время займитесь приготовлением начинки. Для этого нарежьте картофель крупными кубиками, добавьте..."
47,Смажьте полученным кремом остывший торт.,"Отправьте торт в холодильник на 30 минут, а затем достаньте и нарежьте кусочками...","Сборка. Выложите торт на блюдо, украсьте его по своему вкусу. Торт..."
48,Подготовьте все необходимые ингредиенты для приготовления кефира с корицей и красным перцем.,В кефир добавьте специи...,"1. В глубокую миску положите сахар, соль, корицу, красный перец, масло, уксус,1. В глубокую миску положите сахар, соль, корицу, красный перец, масло, уксус..."
49,Молоко с 50 граммами сахара доводим до кипения.,Желтки хорошенько размешиваем с оставшимися 50 граммами сахара и крахмалом...,"Вливаем в кастрюлю с молоком, добавляем соль, сахар, масло, перемешиваем. Варим на..."
50,Теперь переплетите две полосочки между собой.,Затем скрутите их в улитку...,Сделайте из бумаги шаблон для вырезания. Вырежьте из бумаги шаблон для вырезания...
51,"Лисички протрите влажной тряпочкой от грязи, затем нарежьте крупные грибы, а маленькие оставьте целыми.",Обжарьте лисички вместе с репчатым луком на среднем огне до золотистого цвета...,Грибы и лук нарежьте мелкими кубиками. В сковороде разогрейте растительное масло...
52,Подготовьте указанные ингредиенты.,"Творог можно приобретать любой жирности, лучше всего суховатый, а не влажный...","1. Смешайте все ингредиенты, кроме соли, и залейте их в форму для выпечки..."
53,"Горошек при желании можно опустить в кипяток на пару минут, чтобы он не потемнел.",С капусты счистите верхние листья и отрежьте необходимую часть для салата...,Салат из свеклы с морковью. Ингредиенты: свекла – 1...
54,"Очистите чеснок и нарежьте пластинами, добавьте к баклажанам.",Грецкие орехи мелко нарежьте и добавьте в сковороду...,"Баклажаны, запеченные с чесноком. Ингредиенты: 1 кг баклаж..."
55,Обжарьте куриные желудки 10 минут в кастрюле с добавлением масла.,Помешивайте...,"Добавьте к ним лук, морковь, помидоры, томатную пасту, соль, перец, лавровый лист..."
56,"Я взяла шампиньоны, но подойдут любые грибы свежие или маринованные, например вешенки или сухие шиитаке.",Свежие грибы нужно предварительно обжарить или отварить (в зависимости от...,Нарезаем грибы тонкими пластинками. На сковороде разогреваем растительное масло. В...
57,Удалите семена и порежьте на небольшие ломтики.,"Лимон тщательно помойте, можно даже ошпарить кипятком...",В сковороде разогрейте растительное масло и обжарьте в нем нарезанные овощи. Добав...
58,"Добавляем в приготовленную смесь томатную пасту, всё перемешиваем.","Очищенный лук и чеснок нарезаем мелко, обжариваем их на сковороде с растительным маслом до...","Нарезаем помидоры кружочками. На дно формы выкладываем помидоры, сверху кладём кусочки сыра..."
59,Влейте закваску в масляно-яичную массу и соедините компоненты.,"Отдельно смешайте разрыхлитель с оставшейся белой мукой (150 гр) и просейте в жидкую смесь,...",Влейте закваску в тесто и перемешайте. Выложите тесто в форму и выпекайте в...
60,"В мультиварке смажьте чашу растительным маслом и включите программу ""Подогрев"" на 3-5 минут, после выключите.",Переложите тесто в прогретую чашу...,Готовую кашу выложите в тарелку и посыпьте зеленью. Готовую кашу можно подавать с...
61,"Сперва займемся тестом, выкладываем в глубокую миску творог, сливочное масло и муку, перетираем все до состояния крупной крошки.","В полученную смесь добавляем кефир (100 мл), соду и соль по вкусу...","Затем добавляем в тесто яйца, соль, сахар, ванилин, перемешиваем. Тесто дел..."
62,Картофель очистите и нарежьте небольшими кубиками.,Готовый бульон процедите...,В сковороде разогрейте растительное масло и обжарьте в нем нарезанный картофель до золотистого цвета...
63,Разогреваем духовку до 160 градусов.,В форму для выпекания вкладываем нашу смесь и отправляем запекаться на 30 минут...,Нарезаем мясо небольшими кусочками. Натираем сыр на крупной терке. Натира...
64,Выложите грибочки на противень.,Отправьте в разогретую до 200 С духовку на 15 минут...,Сверху посыпьте тертым сыром. Запекайте в духовке при температуре 180 °Сверху посыпьте тертым сыром. Запекайте в духовке при температуре 180 °...
65,Также можно использовать вместо контейнера стерилизованную банку или кастрюлю.,Сверху выложите огурцы...,Для приготовления раствора для промывания глаз можно использовать любой стерилизованный сосуд. Для промывания глаз можно использовать...
66,Посыпьте верх сухим розмарином.,Заверните филе в фольгу и оставьте мариноваться в холодильнике в течение 12 часов...,Смешайте все ингредиенты для салата и заправьте салат оливковым маслом. Салат из помидоров...
67,"Выпекайте 20 минут в духовке, температура 200 градусов.",Приятного аппетита!...,Готовый пирог посыпьте сахарной пудрой. Пирог с яблоками и орехами...
68,Через 30-40 минут добавим томатную пасту.,И вот все готово!...,"Варим еще 10 минут. Добавляем соль, перец, лавровый лист. Доб..."
69, Перемешиваем муку с разрыхлителем и просеиваем через сито.,Добавляем все остальные ингредиенты и тщательно взбиваем миксером до полного исчезновения комочков...,"Добавляем в тесто масло, соль, сахар, ванилин и перемешиваем. Выкладываем тесто в форму..."
70,Ориентируйтесь на свои предпочтения.,В небольшую миску насыпьте муку...,"– А что, если я не хочу?– Тогда я не знаю. –– А что, если я не хочу?– Тогда я не знаю. –..."
71,"Затем добавляем помидоры и оливки, тушим их, добавляем сливки, перец, соль.",После этого высыпаем на сковородку макароны...,"Готовый салат выкладываем на блюдо, украшаем зеленью. Салат из помидоров с огурцами..."
72,"Варите ветчину 70-75 минут, после чего полностью остудите ее в ветчиннице и отправьте в холодильник на 10 часов.",Приятного аппетита!...,Салат из ветчины с овощами. Ингредиенты:Ветчина – 200 г...
73,"Картофель и лук очистите, а окорочка разморозьте, если вы купили их замороженными.","Окорочка натрите солью перцем и пряностями, сделайте небольшие надрезы и засуньте в...","Нарежьте картофель кубиками, лук – полукольцами. В сковороде разогрейте растительное..."
74,Удалите хвостики и косточки.,"Засыпьте сахаром и оставьте на пару часов, чтобы ягода пустила сок и сахар растворился...",Промойте и обсушите мясо. Нарежьте мясо небольшими кусочками. На...
75,"Срежьте у судака голову, хвост, плавники.",Нарежьте тушку порционными кусочками...,"Уложите в кастрюлю, залейте водой, добавьте соль, перец, лавровый лист, перец горошком..."
76,"Молоко должно хорошо прокиснуть, но не перекиснуть!","Мне нравится творог из прокисшего молока, когда оно еще держится одним сгустком и сыворотки совсем мало...",Молоко должно быть комнатной температуры...
77,"Обжариваем или отвариваем, можно их готовить и на гриле, если вы на природе.","Булочки для хот-догов тоже распечатываем, две штучки отправим в микроволновку...","Салат из курицы с овощами. Ингредиенты: 1 курица, 1 морковь..."
78,Лук мелко нарезаем и добавляем к мясу.,Можно также всыпать мелко нарезанной зелени...,"Варим еще минут 5. Добавляем соль, перец, лавровый лист. Пере..."
79,Мясо с курдючным жиром обжарьте в казане.,Лук порезать полукольцами...,"Добавьте лук, морковь, помидоры, томатную пасту, соль, перец, лавровый лист, зелень..."
80,"Если вы не уверены, что у вас получится, то можете вложить картофель в столовую ложку, делая надрезы до ее краев.",Надрезанный картофель необходимо сложить в огнеупорную форму...,"Салат из свеклы с морковью. Ингредиенты: 1 свекла, 1 морковь..."
81,"После завершения выпечки, оставьте кекс на 10 минут в мультиварке.","Извлеките кекс из мультиварки с помощью чаши для пароварки, охладите...","Кекс с яблоками и корицей. Ингредиенты: 1 стакан муки, 1 стакан сахара..."
82,"В горчичный порошок постепенно вливайте воду и перемешивайте, чтобы не оставалось комочков.",Должна получиться однородная масса...,"Варите на слабом огне, пока не загустеет. Готовый соус можно хранить..."
83,Добавляйте по ложке муки и по 100 мл молока и каждый раз тщательно взбивайте.,Переложите тесто в целлофановый пакет...,"Смешайте все ингредиенты, добавьте по ложке сахара и соли, тщательно перемешайте. Полученную..."
84,Подготовьте ингредиенты: яйца отварите вкрутую.,"Огурец, листья пекинской капусты, зелень и грибы промойте холодной водой, обсушите бумажными полотенцами...","Смешайте с мукой, солью, перцем, добавьте масло и вымесите тесто. Вы..."
85,Добавьте рисовую муку.,И еще раз хорошо перемешайте все ингредиенты...,"2. Влейте молоко, перемешайте. 3. Добавьте яйца, соль,2. Добавьте яйца, соль..."
86,"Нам нужно, чтобы рис скрепился с яйцами, но при этом не превратился в кашу.","Интенсивно перемешивая, жарим рис с яйцами...",— А как же тогда?— А вот так. — Но как?— А как же тогда?— А вот так. — Но как?...
87,Обжарить на сковороде с маслом нарезанный мелко лук.,"Добавить нарезанные мелко шампиньоны, посолить, поперчить и обжарить до готовности...","Добавить нарезанные помидоры, нарезанные кубиками огурцы, нарезанные кружочками помидоры, нарезанные кружочками огурцы..."
88,Для начала из указанных ингредиентов нужно замесить тесто.,"Накрываем его полотенцем и ставим в теплое место на время, пока...","Для этого в глубокую миску наливаем молоко, добавляем соль, сахар, масло, яйца, муку, дрожжи, соль..."
89,Подготовьте ингредиенты для приготовления салата.,Сыр нарежьте небольшими кубиками...,Салат из свеклы с морковью и яблоками. Ингредиенты: 300 г свеклы...
90,Попробуйте на соль.,При необходимости добавьте соль и специи...,"Какие есть способы, чтобы похудеть? Попробуй не есть после 6 вечера. Какие есть..."
91,"Эту массу можно теперь смешать с первой, а можно выложить наверх, тогда будет как будто кекс с начинкой.",Запекаем такой кекс 40 минут в разогретой до 180 градусов в духовке...,"В общем, я очень довольна, что сделала это блюдо. А вы что-нибудь готовили из этого теста..."
92,"После этого на чистую сковородку выкладываем листья винограда, мясо, смородину и воды немного (треть стакана).","Тушим на сильном огне минут  Вот свинина со смородиной и готова, можете подавать...","Обжариваем на среднем огне, помешивая, до готовности. Готовое блюдо подаем с..."
93,Для смазывания формы понадобится растительное масло.,А для запекания нужно взять форму из керамики или стекла...,Для приготовления теста для блинчиков понадобится: 1 стакан муки; 1 стакан молока; 1...
94,Отдельно взбиваем 2 желтка с молоком.,Кладем 30 граммов сахара...,Вливаем в тесто. Вымешиваем. Выкладываем тесто в форму...
95,Накрыть тесто чистым полотенцем и оставить в теплом месте минимум на 1 час.,А тем временем можно заняться начинкой...,"Готовое тесто разделить на две части. В одну часть добавить 1 яйцо, 1 ст. л..."
96,"Лук нарезаем кубиком и обжариваем до полуготовности на той же сковороде, где была печень, затем перекладываем его в миску к печени, солим и перчим по вкусу.","Горшочек для запекания слегка смазываем подсолнечным маслом, выкладываем печень с луком, на самый верх кладем сметану, накрываем...","В отдельной миске смешиваем сметану, майонез, соль, перец и измельченный чеснок..."
97,"Тыкву очистите от кожуры, вырежьте семена и нарежьте пластинами толщиной 3-4 мм.",Лимон нарежьте тонкими ломтиками...,"В кастрюлю налейте воду, добавьте сахар, соль, масло и доведите до кипения. Варите на сла..."
98,В мисочку выложите мягкое сливочное масло и яйцо.,"Немного перемешайте, однородности добиваться не нужно...","Всыпьте муку, соль, сахар, ванилин, разрыхлитель и перемешайте..."
99,"На них положите карамелизированые кружочки бананов, и полейте мятным сиропом.","Подавайте к столу, украсив листиками мяты...","Салат из бананов с орехами. Ингредиенты: 1 банан, 1 стакан грецких..."
100,И готово!,Приятного аппетита!...,— А что с ним?— А ничего. — Как ничего?— А что с ним?— А ничего. — Как ничего?...
101,"Чтобы удостовериться, что печень готова, разломите ее — в готовой не будет крови.",Подавайте тушеную печень к столу с любым гарниром...,"— А если я не хочу есть?— Тогда вы можете съесть ее, — сказал он..."
102,"Яйца отварите вкрутую, остудите и очистите.",Нарежьте кубиками и соедините с измельченной зеленью...,"Сварите рис, добавьте к нему яйца, перемешайте. Нарежьте хлеб, натрите..."
103,"Теперь накрываем форму крышкой и отправляем в разогретую до 180 градусов духовку, запекаем приблизительно 1,5-2 часа.","Когда плов будет готов, достаем его и перемешиваем...",Готовый пирог можно посыпать сахарной пудрой. Пирог с яблоками и корицей готов!Готовый пирог можно посыпать сахарной пудрой. Пирог с яблоками и корицей готов!...
104,Точно так же поступите и с остальными коржами.,Верх и бока торта тоже обмажьте кремом...,"Смешайте все ингредиенты для теста, добавьте в тесто яйца, соль, сахар, муку, масло, вани..."
105,"Но я решила их протушить, чтобы брокколи пропиталась соусом.","Подаем все в качестве гарнира, либо как основное блюдо в качестве легкого ужина...","— А что, если я не хочу, чтобы ты их протушила?— Тогда я..."
106,"Чем мельче будет нарезка, тем быстрее она промаринуется.","Перемешайте содержимое емкости с небольшим нажимом, чтобы маринад впитался в мякоть...","— А если я не хочу, чтобы она промариновалась?— Тогда я ее просто..."
107,Фасоль у меня была уже предварительно замоченная.,"Вливаем воду до верхней отметки (или меньше, если любите погуще), добавим специи и соль...","— А что, если я не буду ее варить? — спросила я. — Тогда я..."
108,Также очищаем и измельчаем любым удобным для вас способом чеснок.,Сначала обжариваем на растительном масле лук с морковью...,"В отдельной емкости смешиваем все ингредиенты, кроме соли. Добавляем в смесь соль и перец..."
109,Зеленый горошек откинуть на дуршлаг и слить лишнюю жидкость.,Слегка просушить...,"Влить в кастрюлю с кипящей водой соль, сахар, уксус, лавровый лист, перец горошком..."
110,Тем временем порежьте отваренное мясо и огурцы.,Слегка замаринованный лук отожмите от воды...,Нарежьте помидоры и огурцы кубиками. Нарежьте зелень. Нарежьте сыр...
111,Сушеные помидоры нарезаем мелко и высыпаем в мисочку или на разделочную доску.,Обваляем в них слегка сырный шарик...,"В отдельной миске смешиваем муку, соль, сахар, растительное масло, уксус, перец, соль..."
112," Возьмём копченую курочку, отделим мясо от кости.",Нарежем/нарвем его небольшими кусочками и выложим в мисочку...,— А что с ней делать?— Съешь. — А что с...
113,Всыпьте соль по вкусу.,"Обжарьте грибы 10 минут до мягкости, помешивая...","Влейте в кастрюлю с кипящей водой. Варите на слабом огне, пока соль не..."
114,"Если салат планируется сразу к подаче, то добавьте сухарики.","Если же нет, то сухарики лучше добавить перед сервировкой,чтобы они не...",Салат из свеклы с черносливом. Ингредиенты: 1 свекла...
115,"Если сковородка с антипригарным покрытием, то достаточно просто смазать поверхность.","Оладьи получаются мягкими, пористыми и нежными Посыпаем готовые оладьи сахарной пудрой, наливаем чай и садимся за стол...","Если сковорода с антипригарным покрытием, то достаточно просто смазать поверхность. Если сковорода с антипри..."
116,"Затем выложите нарезанные яйца, промажьте майонезом.",Сверху распределите слой натертой моркови...,Сверху выложите нарезанные грибы. Сверху выложите нарезанные яйца. Сверху вылож...
117,В миске смешайте муку с корицей и овсяными хлопьями.,Холодные белки взбейте с солью до появления пышной пены...,"Добавьте в тесто масло и соль. Перемешайте. Выложите тесто в форму, смазанную маслом..."
118,"Яйца отварите вкрутую, охладите и очистите.",Также нарежьте яйца соломкой...,"Сварите рис, добавьте к нему яйца, перемешайте. Нарежьте хлеб, натрите..."
